ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0002060755-26-000018,Vesalius Longevity Labs (SPV) Inc.,0002056924,1500 - 1055 WEST GEORGIA STREET,,VANCOUVER,A1,V6E 4N7,6712500,6712500,19-MAR-2026,2026Q1
0002031505-26-000003,"Starling Medical, Inc.",0002031505,2450 Holcombe Boulevard,Suite 1320,HOUSTON,TX,77021,824990,1750000,19-MAR-2026,2026Q1
0002121365-26-000001,Dosentrx Ltd.,0002121365,1 HAMAAYAN ST,,MODIIN MACCABIM REUT,L3,7177874,1780000,6000000,19-MAR-2026,2026Q1
0001231919-26-000263,"Numerion Labs, Inc.",0001736153,250 SUTTER ST. SUITE 650,,SAN FRANCISCO,CA,94108,19794945,35000000,19-MAR-2026,2026Q1
0001578117-26-000002,"Terrestrial Bio, Inc.",0001578117,30 CUMMINGS PARK DRIVE,,WOBURN,MA,01801,57301758,83538199,19-MAR-2026,2026Q1
0001870611-26-000004,PIROUETTE PHARMA INC.,0001870611,200 INTERNATIONAL DRIVE,STE 170 - 180,PORTSMOUTH,NH,03801,1080537,6000000,18-MAR-2026,2026Q1
0002121615-26-000001,Metanoia Bio Inc,0002121615,"16192 COASTAL HIGHWAY ,",,LEWES,DE,19958,900000,5000000,18-MAR-2026,2026Q1
0002121301-26-000001,"Nula Therapeutics, Inc.",0002121301,961 Arlington Ave N,,St. Petersburg,FL,33705,7399003,7399003,18-MAR-2026,2026Q1
0002118849-26-000001,TOPAS Solutions Inc.,0002118849,225 Dyer Street,2nd Floor,Providence,RI,02903,567500,1000000,18-MAR-2026,2026Q1
0001995074-26-000002,NurExone Biologic Inc.,0001995074,"MINUS 1 ENTRY, GROUND FLOOR OF BLDG B",GUTWIRTH INDUSTRIAL PARK,"TECHNION CITY, HAIFA",L3,3200003,279910,279910,18-MAR-2026,2026Q1
0001231919-26-000259,Strand Therapeutics Inc.,0001778475,20 Overland Street,Suite A,Boston,MA,02215,108099927,120099940,17-MAR-2026,2026Q1
0002109810-26-000001,"AgelessRx, Inc.",0002109810,2370 E STADIUM BLVD,#2049,ANN ARBOR,MI,48104,5473242,Indefinite,17-MAR-2026,2026Q1
0002114321-26-000001,"Vesica Health, Inc.",0002114321,5 MASON LANE,SUITE 180,IRVINE,CA,92618,4467683,4630489,17-MAR-2026,2026Q1
0001760186-26-000005,"Akelos, Inc.",0001760186,"215 EAST 68TH STREET, SUITE 26B",,NEW YORK,NY,10065,1486000,Indefinite,16-MAR-2026,2026Q1
0001882991-26-000003,"Alphina Therapeutics, Inc.",0001882991,55 Church Street,,New Haven,CT,06510,153715,10000000,16-MAR-2026,2026Q1
0001748964-26-000002,"Phoreus Biotechnology, Inc.",0001748964,22201 W. INNOVATION DRIVE,,OLATHE,KS,66061,4434630,Indefinite,13-MAR-2026,2026Q1
0001841279-26-000003,"Nocion Therapeutics, Inc.",0001841279,15 MAIN STREET,NO. 247,WATERTOWN,MA,02472,22999999,22999999,13-MAR-2026,2026Q1
0001971839-26-000001,"BioCytics, Inc.",0001971839,9801 KINCEY AVE.,SUITE 145,HUNTERSVILLE,NC,28078,25000,7000000,13-MAR-2026,2026Q1
0001841317-26-000001,"Ramona Optics, Inc.",0001841317,1000 W. MAIN ST,SUITE 2A,DURHAM,NC,27701,26037360,31037360,12-MAR-2026,2026Q1
0000892251-26-000043,"BioSolution Designs, Inc.",0002110022,4539 METROPOLITAN CT.,,FREDERICK,MD,21704,705000,1500000,12-MAR-2026,2026Q1
0002115201-26-000001,"DNA SEQ 2, INC.",0002115201,1255 E VISTA WAY #157,,VISTA,CA,92084,1176300,1176300,11-MAR-2026,2026Q1
0001047810-26-000001,DILON TECHNOLOGIES INC,0001047810,701 MARINERS ROW,SUITE 200,NEWPORT NEWS,VA,23606,8056500,10400000,11-MAR-2026,2026Q1
0002116676-26-000001,"Everest Biolabs, Inc.",0002116676,204 SECOND AVE,SUITE 102,WALTHAM,MA,02451,4350000,5650000,11-MAR-2026,2026Q1
0001231919-26-000246,"Slate Medicines, Inc.",0002117806,"200 BERKELEY STREET, 18TH FLOOR",,BOSTON,MA,02116,9999992,130000000,11-MAR-2026,2026Q1
0002115406-26-000003,ADVAC Therapeutics Inc,0002115406,2281 Kenny Road,SUITE 410,Columus,OH,43210,500000,5000000,10-MAR-2026,2026Q1
0002113353-26-000001,"SwitchPoint Bio Holding, Inc.",0002113353,251 LITTLE FALLS DRIVE,,WILMINGTON,DE,19808,5270000,5270000,10-MAR-2026,2026Q1
0002085429-26-000002,Synchrony Medical Inc.,0002085429,222 JERSEY CITY BLVD.,,JERSEY CITY,NJ,07305,4300000,4300000,10-MAR-2026,2026Q1
0002116600-26-000002,"Solstice Oncology, Inc.",0002116600,"200 BERKELEY ST., 18TH FLOOR",,BOSTON,MA,02116,121260306,298400851,09-MAR-2026,2026Q1
0002116194-26-000001,"AirNexis Therapeutics, Inc.",0002116194,1001 PAGE MILL ROAD,"BUILDING 4, SUITE 200B",PALO ALTO,CA,94304,62000000,200000000,09-MAR-2026,2026Q1
0001997597-26-000001,EmpNia Inc.,0001997597,4500 LAKEVIEW DRIVE,,EDINA,MN,55424,9100000,10000000,06-MAR-2026,2026Q1
0001994145-26-000001,"EnZeta Immunotherapies, Inc.",0001994145,122 SEVILLA AVE # 919,,CORAL GABLES,FL,33134,840000,2370000,06-MAR-2026,2026Q1
0002002665-26-000003,"GelSana Therapeutics, Inc.",0002002665,12635 E MONTVIEW BLVD STE 216,,AURORA,CO,80045,3481740,3681738,06-MAR-2026,2026Q1
0000950138-26-000005,CraniUS LLC,0001878219,"1700 Union Avenue, Ste A-1",,Baltimore,MD,21211,19000000,20000000,06-MAR-2026,2026Q1
0002109274-26-000001,"Qureator, Inc.",0002109274,"7094 MIRATECH DRIVE, STE 110",,SAN DIEGO,CA,92121,6680994,6881746,06-MAR-2026,2026Q1
0001792522-26-000001,"MindImmune Therapeutics, Inc.",0001792522,130 FLAGG ROAD,,KINGSTON,RI,02881,15218343,17014485,05-MAR-2026,2026Q1
0001193805-26-000217,"IMMUNIC, INC.",0001280776,1200 AVENUE OF THE AMERICAS,SUITE 200,NEW YORK,X1,10036,200000000,200000000,04-MAR-2026,2026Q1
0001829802-26-000001,"Sensei Biotherapeutics, Inc.",0001829802,"1405 RESEARCH BLVD, SUITE 125",,ROCKVILLE,MD,20850,348906500,348906500,04-MAR-2026,2026Q1
0001736000-26-000004,"GenoPalate, Inc.",0001736000,10437 W INNOVATION DR,STE 465,MILWAUKEE,WI,53226,250000,3000000,04-MAR-2026,2026Q1
0002113766-26-000001,"Parcel Biosciences, Inc.",0002113766,135 MISSISSIPPI STREET,,SAN FRANCISCO,CA,94107,13174977,13174977,04-MAR-2026,2026Q1
0001231919-26-000232,Aegle Therapeutics Corp,0001797825,400 TradeCenter Drive,Suite 5900,Woburn,MA,01801,455695,700000,03-MAR-2026,2026Q1
0002113154-26-000001,GUARDIAN BIOMEDICAL CORP.,0002113154,4920 W. CYPRESS ST. 104 #5076,,TAMPA,FL,33607,60000,250000,03-MAR-2026,2026Q1
0001231919-26-000229,"Ventaris Surgical, Inc.",0002109704,521 TAYLOR WAY,,SAN CARLOS,CA,94070,30684891,30684891,02-MAR-2026,2026Q1
0002107846-26-000001,"MultiValent Biotherapies, Inc.",0002107846,2310 HOMESTEAD ROAD,SUITE C1-409,LOS ALTOS,CA,94024,4375,4375,27-FEB-2026,2026Q1
0002012886-26-000003,"CoRegen, Inc.",0002012886,801 TRAVIS STREET,SUITE 2101,HOUSTON,TX,77002,13500000,13500000,26-FEB-2026,2026Q1
0001493152-26-008057,Nasus Pharma Ltd,0002029039,34 YITZHAK SADEH ST,,TEL AVIV,L3,6274711,15000040,15000040,25-FEB-2026,2026Q1
0001104659-26-019284,"NANOVIRICIDES, INC.",0001379006,1 CONTROLS DRIVE,,SHELTON,CT,06484,6000000,6000000,25-FEB-2026,2026Q1
0002113010-26-000001,"Duracrin, LLC",0002113010,115 MUNSON STREET,6TH FLOOR,NEW HAVEN,CT,06511,1000000,1000000,25-FEB-2026,2026Q1
0002112953-26-000001,"Quarry DAC, Inc",0002112953,115 MUNSON STREET,6TH FLOOR,NEW HAVEN,CT,06511,2100000,2100000,25-FEB-2026,2026Q1
0002113011-26-000001,"Quarry Heme, Inc",0002113011,115 MUNSON STREET,6TH FLOOR,NEW HAVEN,CT,06511,13541480,13541480,25-FEB-2026,2026Q1
0002111460-26-000001,"Lonestar Medicines, Inc.",0002111460,200 BERKELEY STREET,18TH FLOOR,BOSTON,MA,02116,25000000,45000000,23-FEB-2026,2026Q1
0001706556-26-000002,"Inventure, LLC",0001706556,25 DEPOT HILL ROAD,"BUILDING ONE, SUITE 104",SOUTHBURY,CT,06488,200000,200000,23-FEB-2026,2026Q1
0001960618-26-000003,"Altesa BioSciences, Inc.",0001960618,1930 HARVARD AVENUE,,COLLEGE PARK,GA,30337,74999986,74999986,23-FEB-2026,2026Q1
0001959321-26-000005,"Vitazi.AI, Inc.",0001959321,3900 PASEO DEL SOL,,SANTA FE,NM,87507,500000,3000000,20-FEB-2026,2026Q1
0001836033-26-000003,"Amplified Sciences, Inc.",0001836033,3000 KENT AVE,SUITE 1950,WEST LAFAYETTE,IN,47906,2993141,3500000,20-FEB-2026,2026Q1
0002112659-26-000001,"ILIAD BIOTECHNOLOGIES, INC.",0002112659,4581 WESTON ROAD,SUITE 260,WESTON,FL,33331,115540057,115540057,20-FEB-2026,2026Q1
0001178913-26-000573,Evogene Ltd.,0001574565,13 GAD FEINSTEIN STREET,PARK REHOVOT,REHOVOT,L3,7638517,3384616,3384616,19-FEB-2026,2026Q1
0001966649-26-000001,Akava Therapeutics Inc.,0001966649,755 SHERIDAN ROAD,,WINNETKA,IL,60093,0,15000000,19-FEB-2026,2026Q1
0000929638-26-000684,"Galenus Precision Pharmacy, Inc.",0002107049,"350 FELLOWSHIP ROAD, SUITE 101",,MT. LAUREL,NJ,08054,1940500,2817250,18-FEB-2026,2026Q1
0002111997-26-000001,"Verra Therapeutics, Inc.",0002111997,1939 EAST SHORE DR. SUITE 5,,LANSING,NY,14882,205000,450000,18-FEB-2026,2026Q1
0001193125-26-054545,"LEXICON PHARMACEUTICALS, INC.",0001062822,"2445 Technology Forest Blvd., 11th Floor",,The Woodlands,TX,77381,55668255,59150000,17-FEB-2026,2026Q1
0002109293-26-000001,"Accretion Therapeutics, Inc.",0002109293,416 OLD MILL CIR,,LINCOLNSHIRE,IL,60069,750000,1000000,17-FEB-2026,2026Q1
0002057780-26-000001,Treysta Medical Technologies Inc.,0002057780,3733 NORTHWEST 53RD LANE,,GAINESILLE,FL,32653,90000,300000,17-FEB-2026,2026Q1
0001952974-26-000002,"Praeventix, Inc.",0001952974,"665 STOCKTON DRIVE, SUITE 200H",,EXTON,PA,19341,3000000,5000000,13-FEB-2026,2026Q1
0002110349-26-000001,Protogenix Inc.,0002110349,237 TOWER RD,WEILL HALL 409,ITHACA,NY,14853,250000,4200000,13-FEB-2026,2026Q1
0002111394-26-000001,"20 Bio, Inc.",0002111394,399 REVOLUTION DRIVE SUITE 999,,SOMERVILLE,MA,02145,4500000,6000000,13-FEB-2026,2026Q1
0002110722-26-000001,RUSKID LLC,0002110722,6171 RANCHO DIEGUENO RD,,RANCHO SANTA FE,CA,92091,1370000,2000000,13-FEB-2026,2026Q1
0001829126-26-001292,"KALA BIO, Inc.",0001479419,1167 MASSACHUSETTS AVENUE,,ARLINGTON,MA,02476,2250600,4200000,13-FEB-2026,2026Q1
0002100894-26-000001,"JML BIOTECH INVESTORS, LLC",0002100894,11923 LONGLEAF LANE,,HOUSTON,TX,77024,0,5000000,13-FEB-2026,2026Q1
0002109348-26-000002,"Thoclor US, Inc.",0002109348,1 SHETLAND ROAD,,FLORHAM PARK,NJ,07932,225000,500000,12-FEB-2026,2026Q1
0002110508-26-000001,"Eldec Pharmaceuticals, Inc.",0002110508,510 MEADOWMONT VILLAGE CIRCLE SUITE 364,,CHAPEL HILL,NC,27517,200000,1500000,12-FEB-2026,2026Q1
0002108256-26-000001,"Third Coast Dynamics, Inc.",0002108256,1740 WESLEY AVENUE,,EVANSTON,IL,60201,224,224,11-FEB-2026,2026Q1
0002102037-26-000001,"Elysia Creative Biology, Inc.",0002102037,840 OVAL DRIVE,,RALEIGH,NC,27606,464875,465000,11-FEB-2026,2026Q1
0002109179-26-000001,"Exin Therapeutics, Inc.",0002109179,2261 MARKET STREET STE 22614,,SAN FRANCISCO,CA,94114,2162300,2162300,10-FEB-2026,2026Q1
0002024675-26-000004,California Cultured Inc.,0002024675,3650 INDUSTRIAL BLVD.,STE 100,WEST SACRAMENTO,CA,95691,7510059,7510059,10-FEB-2026,2026Q1
0002032849-26-000001,"Ensho Therapeutics, Inc.",0002032849,50 Tice Boulevard,Suite 340 - #1005,Woodcliff Lake,NJ,07677,0,20000000,09-FEB-2026,2026Q1
0002105666-26-000001,"Neuro Spine Ventures, LLC",0002105666,2840 WEST BAY DRIVE #238,,BELLEAIR BLUFFS,FL,33770,856988,1500000,09-FEB-2026,2026Q1
0002110269-26-000001,ASTRO HEALTH INC,0002110269,1 SANSOME ST STE 3500,,SAN FRANCISCO,CA,CA 94104,100000,10000000,09-FEB-2026,2026Q1
0002109643-26-000002,"Embold Therapeutics, Inc.",0002109643,2682 EATON AVE,,REDWOOD CITY,CA,94062,130000,3000000,09-FEB-2026,2026Q1
0002026725-26-000001,XDemics Corp,0002026725,1281 Andersen Drive,Suite K,San Rafael,CA,94901,7399999,7399999,06-FEB-2026,2026Q1
0001062993-26-000650,Sernova Biotherapeutics Inc.,0002102368,PO 29592 RPO Central Parkway,,Mississauga,A6,L5A4H2,344514,843153,05-FEB-2026,2026Q1
0002109829-26-000001,"Immunomet Therapeutics, Inc.",0002109829,2450 HOLCOMBE BLVD.,,HOUSTON,TX,77021,842211,10000000,05-FEB-2026,2026Q1
0001885962-26-000004,"Nanochon, Inc.",0001885962,1317 SHEPHERD ST NW,UNIT D,WASHINGTON,DC,20011,3582315,4223097,05-FEB-2026,2026Q1
0001683168-26-000772,"ClearPoint Neuro, Inc.",0001285550,120 S. SIERRA AVENUE,SUITE 100,SOLANA BEACH,CA,92075,17892698,17892698,05-FEB-2026,2026Q1
0001959064-26-000002,"PathCision Medicine, Inc.",0001959064,134 COOLIDGE AVENUE,#2,WATERTOWN,MA,02472,1700000,3000000,05-FEB-2026,2026Q1
0001728443-26-000005,"Sentire Medical Systems, Inc.",0001728443,10455 RIVERSIDE DRIVE,SUITE 110,PALM BEACH GARDENS,FL,33410,1167544,1200000,04-FEB-2026,2026Q1
0001798793-26-000001,"Nature's Toolbox, Inc.",0001798793,7701 INNOVATION WAY,,RIO RANCHO,NM,87144,10365162,15001975,04-FEB-2026,2026Q1
0002107396-26-000001,Gilgamesh Pharma Inc.,0002107396,"113 UNIVERSITY PLACE, SUITE 1019",,NEW YORK,NY,10003,0,4366118,04-FEB-2026,2026Q1
0002108983-26-000001,"Caradon Therapeutics, Inc.",0002108983,1281 HYMETTUS AVE.,,ENCINITAS,CA,92024,559328,900000,03-FEB-2026,2026Q1
0002108969-26-000001,Starget Pharma Inc.,0002108969,2031 KINGS HIGHWAY,,SHREVEPORT,LA,71103,16373737,22158515,03-FEB-2026,2026Q1
0002105460-26-000001,Compvide Inc.,0002105460,879 RAINIER AVE N,STE A103,RENTON,WA,98057,25000,3000000,03-FEB-2026,2026Q1
0002107977-26-000001,"Navega Therapeutics, Inc.",0002107977,3210 MERRYFIELD ROW,,SAN DIEGO,CA,92121,1300000,2500000,30-JAN-2026,2026Q1
0001759425-26-000005,"Mirum Pharmaceuticals, Inc.",0001759425,"989 EAST HILLSDALE BOULEVARD, SUITE 300",,FOSTER CITY,CA,94404,68480000,68480000,29-JAN-2026,2026Q1
0001477932-26-000461,VOLITIONRX LTD,0000093314,"1489 West Warm Springs Road, Suite 110",,Henderson,NV,89014,22650000,22650000,28-JAN-2026,2026Q1
0002105609-26-000001,"GPN VACCINES, INC.",0002105609,251 LITTLE FALLS DRIVE,,WILMINGTON,DE,19808,3500000,10000000,28-JAN-2026,2026Q1
0002101752-26-000001,Avenue Biosciences Holding Inc,0002101752,211 LAUREL STREET,,MENLO PARK,CA,94025,7440682,8357349,28-JAN-2026,2026Q1
0001769360-26-000002,"28bio, Inc.",0001769360,"4224 HOUMA BLVD., SUITE 224",,METAIRIE,LA,70006,6525000,7000000,27-JAN-2026,2026Q1
0002104335-26-000001,LAACClamp Inc.,0002104335,1275 KINNEAR ROAD,,COLUMBUS,OH,43212,150000,750000,27-JAN-2026,2026Q1
0002095500-26-000001,Bio Usawa Inc.,0002095500,100 PINE STREET,SUITE 1250,SAN FRANCISCO,CA,94111,500000,Indefinite,27-JAN-2026,2026Q1
0002100543-26-000001,"Faeth Therapeutics, Inc.",0002100543,701 TILLERY ST #12 #1010,,AUSTIN,TX,78702,24434214,24999993,27-JAN-2026,2026Q1
0002105017-26-000001,"Sarmal, Inc.",0002105017,"9310 ATHENA CIR, STE 250",,LA JOLLA,CA,92037,5000000,5000000,26-JAN-2026,2026Q1
0002106870-26-000001,"Kylix Bio, Inc.",0002106870,"8 THE GREEN, SUITE A",,DOVER,DE,19901,850000,12000000,26-JAN-2026,2026Q1
0001606077-26-000001,"Windgap Medical, Inc.",0001606077,200 DEXTER AVENUE,SUITE 270,WATERTOWN,MA,02472,12650000,17250000,26-JAN-2026,2026Q1
0002066303-26-000001,"Mivax Therapeutics, Inc.",0002066303,701 CHINA BASIN ST,APT 605,SAN FRANCISCO,CA,94158,107500,500000,23-JAN-2026,2026Q1
0002103906-26-000001,NBO Pharma Inc.,0002103906,64 QUARRY LANE,,BEDFORD,NY,10506,7640217,7640217,22-JAN-2026,2026Q1
0001104659-26-005775,"iBio, Inc.",0001420720,"11750 SORRENTO VALLEY ROAD, SUITE 200",,SAN DIEGO,CA,92121,25985431,25985431,22-JAN-2026,2026Q1
0002089685-26-000003,Tidal Diagnostic Solutions Inc.,0002089685,20 OLD COLONY LN,,SCARBOROUGH,ME,04074,227000,300000,22-JAN-2026,2026Q1
0001814250-26-000001,"inSoma Bio, Inc.",0001814250,"701 W. MAIN STREET, SUITE 410",,DURHAM,NC,27701,2689372,4000000,22-JAN-2026,2026Q1
0002106811-26-000001,Eletala Enterprises Inc,0002106811,251 LITTLE FALLS DRIVE,,WILMINGTON,DE,19808,100000,10000000,22-JAN-2026,2026Q1
0002104852-26-000001,"PICO HOLDINGS, INC.",0002104852,1610 R STREET,SUITE 300,SACRAMENTO,CA,95811-9623,163000,8000000,22-JAN-2026,2026Q1
0002069936-26-000001,"Caldera Therapeutics, Inc.",0002069936,300 TECHNOLOGY SQUARE,8TH FLOOR,CAMBRIDGE,MA,02139,37500000,37500000,21-JAN-2026,2026Q1
0001493152-26-003028,Kaida BioPharma Inc.,0001973954,416 SW 1ST AVENUE,SUITE 101,FORT LAUDERDALE,FL,33301,1570507,3000000,21-JAN-2026,2026Q1
0001991732-26-000001,"Cantai Therapeutics, Inc.",0001991732,3675 MARKET STREET,SUITE 200,PHILADELPIA,PA,19104,3000000,3000000,21-JAN-2026,2026Q1
0002105554-26-000001,SeeLife Impact 6 LLC,0002105554,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,20-JAN-2026,2026Q1
0002105562-26-000001,SeeLife Impact 4 LLC,0002105562,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,20-JAN-2026,2026Q1
0002105571-26-000001,SeeLife Impact 3 LLC,0002105571,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,20-JAN-2026,2026Q1
0002105597-26-000001,SeeLife Impact 2 LLC,0002105597,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,20-JAN-2026,2026Q1
0002105602-26-000001,SeeLife Impact 1 LLC,0002105602,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,20-JAN-2026,2026Q1
0001795091-26-000001,OS Therapies Inc,0001795091,115 Pullman Crossing Road,Suite 103,Grasonville,MD,21638,3498650,7531884,20-JAN-2026,2026Q1
0001213900-26-005642,BiomX Inc.,0001739174,"22 EINSTEIN STREET, FLOOR 4",,NESS ZIONA,L3,7414003,3300000,3300000,20-JAN-2026,2026Q1
0002105633-26-000001,Rhodenergy An Environmental Co Corp,0002105633,300 CARNEGIE CENTER,SUITE 150,PRINCETON,NJ,08540,250000000,250000000,15-JAN-2026,2026Q1
0000905729-26-000020,"Iaso Therapeutics, Inc.",0001961165,4942 DAWN AVE,STE 108,EAST LANSING,MI,48823,570000,1800000,14-JAN-2026,2026Q1
0001231919-26-000051,"Alveus Therapeutics, Inc.",0002075856,"100 N. 18TH STREET, SUITE 1930",,PHILADELPHIA,PA,19103,56862480,110724980,14-JAN-2026,2026Q1
0002104899-26-000001,"Serafin Labs, Inc.",0002104899,3971 LAMONT STREET,,SAN DIEGO,CA,92109,50000,1000000,14-JAN-2026,2026Q1
0002104142-26-000001,"ABLi Therapeutics, Inc.",0002104142,3350 RIVERWOOD PKWY SE,STE 1900,ATLANTA,GA,30339,1000000,1000000,13-JAN-2026,2026Q1
0002102852-26-000001,SeeLife Impact 5 LLC,0002102852,12481 S FORT STREET,#225,DRAPER,UT,84020,5000000,5000000,13-JAN-2026,2026Q1
0002104347-26-000001,"Gasami Therapeutics, Inc.",0002104347,8401 MAYLAND DR,#5432,RICHMOND,VA,23294,20000,250000,12-JAN-2026,2026Q1
0001790415-26-000002,"Vizgen, Inc.",0001790415,150 Bear Hill Road,,Waltham,MA,02451,47788714,50000000,12-JAN-2026,2026Q1
0002078196-26-000001,"Circulate Health, Inc.",0002078196,1424 11TH AVE STE 400,,SEATTLE,WA,98122,13000000,13000000,09-JAN-2026,2026Q1
0002102665-26-000001,"Immorta Bio, Inc.",0002102665,7064 FISHER ISLAND DRIVE,,MIAMI BEACH,FL,33109,450000,500000,08-JAN-2026,2026Q1
0001493152-26-000797,"Dermata Therapeutics, Inc.",0001853816,3525 DEL MAR HEIGHTS RD.,#322,SAN DIEGO,CA,92130,4124591,4124591,07-JAN-2026,2026Q1
0001903784-26-000002,"Vogenx, Inc.",0001903784,3901 BARRETT DRIVE,"SUITE 300, P.O. BOX 19469",RALEIGH,NC,27609,750000,5000000,07-JAN-2026,2026Q1
0001437749-26-000454,"Harvard Apparatus Regenerative Technology, Inc.",0001563665,84 OCTOBER HILL ROAD,Suite 11,HOLLISTON,MA,01746,700000,2000000,06-JAN-2026,2026Q1
0001493152-26-000434,"MAIA Biotechnology, Inc.",0001878313,444 WEST LAKE STREET,SUITE 1700,CHICAGO,IL,60606,1509789,2000000,05-JAN-2026,2026Q1
0001990753-26-000004,"Amplifi Vascular, Inc.",0001990753,"3965 West 83rd Street, #300",,Prairie Village,KS,66208,5960278,12000000,30-JUN-2026,2026Q2
0001945154-26-000002,"SonoThera, Inc.",0001945154,"201 HASKINS WAY, 5TH FLOOR",,SOUTH SAN FRANCISCO,CA,94080,125450218,125450218,30-JUN-2026,2026Q2
0002142815-26-000001,Andon Bio Inc.,0002142815,12635 E. MONTVIEW BLVD,SUITE 100,AURORA,CO,80045,250000,2000000,30-JUN-2026,2026Q2
0001493152-26-031095,"FibroBiologics, Inc.",0001958777,9350 KIRBY DRIVE,SUITE 300,HOUSTON,TX,77054,3000000,3000000,29-JUN-2026,2026Q2
0001493152-26-030335,"Edesa Biotech, Inc.",0001540159,100 SPY COURT,,MARKHAM,A6,L3R 5H6,3499986,3500000,26-JUN-2026,2026Q2
0001814554-26-000111,"ROC Holdings SPV III, LP",0002142302,"1630 COLUMBIA ROAD NW, APT 418",,WASHINGTON,DC,20009,0,Indefinite,26-JUN-2026,2026Q2
0002008372-26-000002,"Rapalogix Health, Inc.",0002008372,3129 TIGER RUN COURT,SUITE 207,CARLSBAD,CA,92010,19112746,24999999,26-JUN-2026,2026Q2
0001213900-26-072125,REGENTIS BIOMATERIALS LTD.,0001912966,60 MEDINAT HAYEHUDIM STREET,,HERZLIYA,L3,4676652,6500000,6500000,25-JUN-2026,2026Q2
0001829126-26-006874,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,23975 PARK SORRENTO,SUITE 205,CALABASAS,CA,91302,5000000,5000000,25-JUN-2026,2026Q2
0001213900-26-072032,IceCure Medical Ltd.,0001584371,7 HA'ESHEL STREET,,CAESAREA,L3,3079504,16500000,16500000,25-JUN-2026,2026Q2
0001806540-26-000001,"Lycia Therapeutics, Inc.",0001806540,"400 EAST JAMIE COURT, SUITE 200",,SOUTH SAN FRANCISCO,CA,94080,75000000,75000000,25-JUN-2026,2026Q2
0002138882-26-000001,"Chickadee Biomedicines, Inc.",0002138882,91 OAKMERE STREET,,BOSTON,MA,02132-5529,150000,1000000,25-JUN-2026,2026Q2
0002136792-26-000001,"Exactics, Inc.",0002136792,5207 S. HARPER AVENUE,,CHICAGO,IL,60615,855000,1500000,25-JUN-2026,2026Q2
0001891891-26-000002,"Quanta Therapeutics, Inc.",0001891891,"TWO TOWER PLACE, FLOOR 17",,SOUTH SAN FRANCISCO,CA,94080,76192272,89098282,24-JUN-2026,2026Q2
0002141184-26-000002,"Ollin Biosciences, Inc.",0002141184,1250 S. CAPITAL OF TEXAS HWY,"BUILDING 3, SUITE 400",AUSTIN,TX,78746,156249990,330000000,24-JUN-2026,2026Q2
0002080612-26-000037,"TETmedical, Inc.",0001980705,71 RIVERLAWN DRIVE,,FAIR HAVEN,NJ,07704,3533611,9812108,24-JUN-2026,2026Q2
0002141990-26-000001,YUTIDETX INC.,0002141990,4000 FAIRFAX DR,APT 902,ARLINGTON,VA,22203,375000,375000,24-JUN-2026,2026Q2
0002142020-26-000001,"Boston Interactome, Inc.",0002142020,127 WESTERN AVENUE,,ALLSTON,MA,02134,500000,1500000,24-JUN-2026,2026Q2
0001951025-26-000001,LabVoice Inc.,0001951025,252 SWEET BAY PLACE,,CARRBORO,NC,27510,1200000,1200000,23-JUN-2026,2026Q2
0001844157-26-000005,"Petragen, Inc.",0001844157,"12555 Orange Drive, Suite 236",,Davie,FL,33330,495000,1000000,23-JUN-2026,2026Q2
0002140690-26-000001,HAWKHILL THERAPEUTICS Ltd,0002140690,LIFE SCIENCES INNOVATION HUB,5 JAMES LINDSAY PLACE,"DUNDEE, SCOTLAND",X0,DD1 5JJ,192569,192569,23-JUN-2026,2026Q2
0001938571-26-000004,"ADAPTIN BIO, INC.",0001938571,3540 TORINGDON WAY,"SUITE 200, #250",CHARLOTTE,NC,28277,1912000,4000000,22-JUN-2026,2026Q2
0002141439-26-000001,"Nanomind, Inc.",0002141439,700 CANAL STREET,1ST FLOOR,STAMFORD,CT,06902,2000000,3000000,22-JUN-2026,2026Q2
0002139809-26-000001,"DINYA DNA, Inc.",0002139809,8000 EDGEWATER DRIVE,SUITE 200,OAKLAND,CA,94621,3772104,4297104,22-JUN-2026,2026Q2
0001104659-26-076151,Aspira Women's Health Inc.,0000926617,12117 BEE CAVES ROAD,"BUILDING III, SUITE 100",AUSTIN,TX,78738,1485000,1485000,22-JUN-2026,2026Q2
0002138514-26-000001,Balsam Pharmaceuticals Co,0002138514,"8200 GREENSBORO DR, # 900",Suite #900,MCLEAN,VA,22102,200000,1000000,22-JUN-2026,2026Q2
0000905148-26-003005,"Cellanome, Inc.",0001886462,"500 Lincoln Centre Dr., 3rd Floor",,Foster City,CA,94404,75930476,75930476,22-JUN-2026,2026Q2
0001745880-26-000001,AcuraStem Inc,0001745880,150 North Orange Grove Blvd.,Suite 220,Pasadena,CA,91103,0,5000000,22-JUN-2026,2026Q2
